States,total_count,dmr_count,total_percentage,dmr_percentage,fold_change,description
Enh_1,37217,34,0.273098616,0.054434838,0.199323009,enhancer strong
EnhLo_2,133676,60,0.980915457,0.096061479,0.097930437,weak enhancer
EnhPois_3,458569,824,3.364982648,1.319244316,0.392050853,enhancer poised
Tx_4,643825,129,4.724392519,0.206532181,0.043716135,Transcription
TssA_5,34421,118,0.252581548,0.188920909,0.747960057,Active Tss_promoter
TssAFlnk_6,104659,1420,0.767988501,2.273455011,2.960272202,Flanking active Tss_incative promoter
TssBiv_7,50632,17367,0.371537983,27.8049952,74.83755759,Bivalent Tss_promoter
PC_8,330957,40575,2.428564866,64.96157541,26.74895627,Polycomb
Het_9,306366,256,2.24811593,0.409862312,0.182313691,Heterochromatin
Quies_10,8759138,679,64.27461817,1.087095741,0.016913298,Quiesenscent
QuiesG_11,2768218,998,20.31320376,1.597822606,0.078659311,Quiesenscent Gene_Permissive Tx
